"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"10/23/2020, Pacific Time",706580,696963,530025,-155614
CAL,"10/24/2020, Pacific Time",654581,644516,450180,-179352
CAL,"10/25/2020, Pacific Time",623304,608206,446941,-162193
CAL,"10/26/2020, Pacific Time",647755,660188,514214,-129198
CAL,"10/27/2020, Pacific Time",659165,674770,503121,-153380
CAL,"10/28/2020, Pacific Time",668759,667090,503771,-152583
CAL,"10/29/2020, Pacific Time",684242,668284,501678,-164204
CAL,"10/30/2020, Pacific Time",682094,670462,476949,-181690
CAL,"10/31/2020, Pacific Time",634164,633314,442752,-167898
CAL,"11/1/2020, Pacific Time",647101,584755,463921,-153315
CAL,"11/2/2020, Pacific Time",686412,651431,502802,-162393
CAL,"11/3/2020, Pacific Time",693608,650433,506062,-167558
CAL,"11/4/2020, Pacific Time",705962,695680,510450,-171460
CAL,"11/5/2020, Pacific Time",719754,725224,535182,-159439
CAL,"11/6/2020, Pacific Time",690260,680585,515167,-152098
CAL,"11/7/2020, Pacific Time",618150,633881,430900,-165322
CAL,"11/8/2020, Pacific Time",609228,614513,427304,-158598
CAL,"11/9/2020, Pacific Time",680829,673331,485636,-174581
CAL,"11/10/2020, Pacific Time",695307,671456,488174,-184122
CAL,"11/11/2020, Pacific Time",682836,683027,487530,-172085
CAL,"11/12/2020, Pacific Time",685206,688590,481181,-182408
CAL,"11/13/2020, Pacific Time",693743,683434,456953,-212310
CAL,"11/14/2020, Pacific Time",630128,617906,409924,-198710
CAL,"11/15/2020, Pacific Time",611666,612761,419372,-169595
CAL,"11/16/2020, Pacific Time",674764,690366,474153,-177812
CAL,"11/17/2020, Pacific Time",686441,691088,473452,-190635
CAL,"11/18/2020, Pacific Time",678572,679146,478997,-179423
CAL,"11/19/2020, Pacific Time",684542,668952,470199,-195126
CAL,"11/20/2020, Pacific Time",687658,677151,476243,-190974
CAL,"11/21/2020, Pacific Time",642998,620405,431233,-187218
CAL,"11/22/2020, Pacific Time",625983,617412,425952,-176740
CAL,"11/23/2020, Pacific Time",687619,681167,483175,-181959
CAL,"11/24/2020, Pacific Time",693150,677761,469616,-203813
CAL,"11/25/2020, Pacific Time",688831,682084,464359,-203657
CAL,"11/26/2020, Pacific Time",631678,610001,421205,-185078
CAL,"11/27/2020, Pacific Time",636591,622574,423025,-191137
CAL,"11/28/2020, Pacific Time",641002,634930,428333,-186822
CAL,"11/29/2020, Pacific Time",635632,615928,434736,-176976
CAL,"11/30/2020, Pacific Time",704380,696602,477776,-202225
CAL,"12/1/2020, Pacific Time",713667,695187,507356,-186794
CAL,"12/2/2020, Pacific Time",710930,707104,513466,-180466
CAL,"12/3/2020, Pacific Time",706412,709507,500220,-183498
CAL,"12/4/2020, Pacific Time",712680,691860,508567,-180333
CAL,"12/5/2020, Pacific Time",672458,651448,460985,-190916
CAL,"12/6/2020, Pacific Time",649681,642280,442011,-185239
CAL,"12/7/2020, Pacific Time",719082,716511,507464,-187354
CAL,"12/8/2020, Pacific Time",710801,706863,484512,-203801
CAL,"12/9/2020, Pacific Time",710429,710691,466820,-223414
CAL,"12/10/2020, Pacific Time",710700,698829,492266,-199811
CAL,"12/11/2020, Pacific Time",726307,704271,493680,-211341
CAL,"12/12/2020, Pacific Time",686201,657983,458638,-213758
CAL,"12/13/2020, Pacific Time",664552,666232,453709,-193137
CAL,"12/14/2020, Pacific Time",708251,712290,508123,-185921
CAL,"12/15/2020, Pacific Time",722366,723316,495419,-211539
CAL,"12/16/2020, Pacific Time",722706,710607,509539,-199564
CAL,"12/17/2020, Pacific Time",717435,714010,472308,-223624
CAL,"12/18/2020, Pacific Time",713342,698430,462265,-231486
CAL,"12/19/2020, Pacific Time",673590,648365,427132,-223778
CAL,"12/20/2020, Pacific Time",661326,636300,412080,-228098
CAL,"12/21/2020, Pacific Time",710091,700303,449904,-237798
CAL,"12/22/2020, Pacific Time",709005,708721,455345,-232789
CAL,"12/23/2020, Pacific Time",715897,710805,477715,-217068
CAL,"12/24/2020, Pacific Time",693725,703015,436729,-235038
CAL,"12/25/2020, Pacific Time",630412,632593,397496,-212465
CAL,"12/26/2020, Pacific Time",625205,621648,397327,-205297
CAL,"12/27/2020, Pacific Time",638111,614633,388094,-227314
CAL,"12/28/2020, Pacific Time",702472,709654,469585,-212679
CAL,"12/29/2020, Pacific Time",690295,721722,479275,-191751
CAL,"12/30/2020, Pacific Time",693703,704688,467616,-205802
CAL,"12/31/2020, Pacific Time",667928,670784,429117,-214618
